Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1052.829956,1058.920044,1017.690002,1033.469971,1033.469971,2084270000
1996-01-08,1034.939941,1035.619995,987.979980,1008.229980,1008.229980,2290400000
1996-01-15,1009.960022,1019.520020,977.789978,1018.450012,1018.450012,2706080000
1996-01-22,1019.719971,1046.000000,1019.140015,1040.959961,1040.959961,2707720000
1996-01-29,1042.530029,1076.319946,1039.869995,1072.109985,1072.109985,2682070000
1996-02-05,1072.949951,1098.849976,1070.800049,1094.599976,1094.599976,2822400000
1996-02-12,1094.839966,1098.939941,1079.939941,1090.709961,1090.709961,2488620000
1996-02-19,1085.520020,1121.890015,1080.030029,1117.790039,1117.790039,2170150000
1996-02-26,1116.530029,1119.099976,1082.969971,1086.079956,1086.079956,2652100000
1996-03-04,1088.910034,1099.069946,1057.869995,1063.729980,1063.729980,2591820000
1996-03-11,1065.000000,1099.660034,1064.640015,1099.589966,1099.589966,2426850000
1996-03-18,1102.780029,1119.839966,1096.229980,1102.219971,1102.219971,2523860000
1996-03-25,1104.310059,1107.089966,1079.900024,1101.400024,1101.400024,2519150000
1996-04-01,1105.770020,1119.349976,1102.939941,1118.209961,1118.209961,1989710000
1996-04-08,1106.319946,1117.689941,1092.439941,1100.939941,1100.939941,2653740000
1996-04-15,1102.800049,1143.310059,1102.689941,1138.699951,1138.699951,2824020000
1996-04-22,1143.079956,1188.890015,1143.079956,1186.890015,1186.890015,3325490000
1996-04-29,1186.670044,1200.189941,1178.239990,1184.599976,1184.599976,3165210000
1996-05-06,1186.829956,1202.780029,1163.209961,1202.760010,1202.760010,3485300000
1996-05-13,1204.329956,1243.300049,1204.030029,1241.880005,1241.880005,3225070000
1996-05-20,1246.000000,1252.810059,1240.790039,1247.800049,1247.800049,3341840000
1996-05-27,1249.599976,1251.229980,1222.949951,1243.430054,1243.430054,2491950000
1996-06-03,1242.540039,1254.119995,1206.530029,1229.760010,1229.760010,3095690000
1996-06-10,1231.500000,1240.780029,1213.180054,1213.180054,1213.180054,2649100000
1996-06-17,1215.300049,1217.130005,1152.790039,1175.439941,1175.439941,2880060000
1996-06-24,1177.930054,1186.329956,1147.750000,1185.020020,1185.020020,2854250000
1996-07-01,1185.640015,1198.040039,1158.339966,1158.349976,1158.349976,1735000000
1996-07-08,1157.689941,1160.979980,1094.219971,1103.489990,1103.489990,2707780000
1996-07-15,1102.520020,1109.859985,1008.440002,1097.680054,1097.680054,3337430000
1996-07-22,1096.280029,1097.699951,1017.640015,1079.439941,1079.439941,2710240000
1996-07-29,1079.209961,1125.979980,1063.199951,1124.920044,1124.920044,2395350000
1996-08-05,1127.910034,1141.400024,1113.869995,1137.270020,1137.270020,2305880000
1996-08-12,1136.689941,1139.800049,1123.920044,1133.650024,1133.650024,2079100000
1996-08-19,1133.920044,1146.819946,1118.619995,1143.050049,1143.050049,2102250000
1996-08-26,1144.359985,1153.900024,1137.290039,1141.500000,1141.500000,2131340000
1996-09-02,1133.300049,1145.810059,1123.140015,1139.390015,1139.390015,1767320000
1996-09-09,1140.790039,1188.680054,1140.790039,1188.670044,1188.670044,2585220000
1996-09-16,1190.040039,1221.030029,1187.500000,1219.689941,1219.689941,2914510000
1996-09-23,1216.689941,1237.260010,1207.800049,1230.050049,1230.050049,2855650000
1996-09-30,1229.140015,1247.569946,1214.599976,1247.560059,1247.560059,2781530000
